类别,行政区,点评数,口味,环境,服务,人均消费
海鲜,M,4,7.6,7.6,7.5,0
海鲜,M,0,0,0,0,0
本菜,M,247,7.3,7.3,7.3,217
浙菜,M,55,7.6,7.4,7.5,89
龙虾,M,340,8.2,8,7.8,142
龙虾,M,340,8.2,8,7.8,142
浙菜,J,0,0,0,0,0
甜点,J,7,7.4,7.4,7.4,15
甜点,J,7,7.4,7.4,7.4,15
火锅,J,65,6.7,6.6,6.6,111
甜点,J,3,6.5,6.7,6.7,0
火锅,M,2,6.7,6.6,6.6,0
火锅,M,501,9,8.3,8.8,99
浙菜,J,6,7.4,7.2,7.3,0
美食,J,0,0,0,0,0
川菜,J,10,6.9,6.9,6.9,55
烧烤,J,15,6.6,6.6,6.5,0
龙虾,J,0,0,0,0,0
美食,J,1,6.9,6.9,6.9,0
龙虾,J,0,0,0,0,0
火锅,M,12,7.4,7.5,7.5,65
西餐,M,0,0,0,0,0
川菜,M,0,0,0,0,54
龙虾,M,0,0,0,0,0
美食,M,292,8.1,8,8.3,55
本菜,M,100,7.5,7.5,7.6,152
快餐,J,405,6.6,6.4,6.3,15
川菜,M,0,0,0,0,0
浙菜,J,37,7.1,7.1,6.9,0
快餐,J,25,6.7,6.9,6.9,21
甜点,J,3,7.4,7.4,7.4,0
甜点,J,3,7.4,7.4,7.4,0
浙菜,J,23,6.7,7.2,6.6,0
西餐,J,30,7,7.1,7.1,50
火锅,M,27,7.1,7.2,7.1,82
本菜,M,333,7.5,7.6,7.4,148
啡厅,M,54,7.6,7.7,7.5,44
啡厅,M,54,7.6,7.7,7.5,44
啡厅,M,37,7.7,7.9,7.2,19
啡厅,M,54,7.6,7.7,7.5,44
甜点,M,1,7.3,7.3,7.1,10
浙菜,J,1,7.1,7.1,7.1,0
美食,M,3,7.3,7.2,7.1,50
甜点,M,2,7.2,7.2,7.2,0
常菜,M,1,7.2,7.2,7,0
甜点,M,2,7.2,7.2,7.2,0
川菜,M,2,7.3,7.1,7.3,40
川菜,M,2,6.9,6.9,6.9,30
烧烤,M,0,0,0,0,0
快餐,M,0,0,0,0,15
快餐,M,2,7.7,7.7,7.7,0
甜点,M,173,7.6,7.6,7.6,14
火锅,M,0,0,0,0,0
烧烤,M,7,7.3,7,7.1,0
美食,M,2,7.4,7.4,7.4,35
美食,M,1,6.9,6.9,6.9,28
疆菜,M,0,0,0,0,14
火锅,M,105,7.5,7.1,7.3,157
美食,M,0,0,0,0,0
浙菜,M,9,7.3,7.2,7.3,68
本菜,J,342,8,7.7,7.8,213
湘菜,M,67,6.8,6.7,6.8,57
料理,M,70,7.6,7.3,7.5,61
烧烤,M,0,0,0,0,0
火锅,M,13,7.4,7.4,7.4,31
快餐,M,3,7.3,7.2,7.3,14
,,98,6.8,6.8,6.9,95
火锅,J,12,7.8,7.6,7.8,0
火锅,M,20,7.4,7.4,7.4,57
火锅,M,2,7,7.1,7,0
快餐,M,1,0,0,0,0
西餐,Q,1,6.9,6.9,6.9,0
美食,Q,15,7.4,7.3,7.2,0
啡厅,Q,59,7.8,7.8,7.6,131
啡厅,Q,59,7.8,7.8,7.6,131
西餐,Q,1,6.9,6.9,6.9,0
浙菜,J,2430,7.9,8.5,8.3,88
海鲜,J,1155,7.7,8,7.8,193
川菜,J,1423,8.2,8.3,8.1,89
川菜,J,452,7.6,8.1,7.6,83
粤菜,J,1143,7.8,8.2,7.8,75
湘菜,J,624,7.6,8.1,7,87
海鲜,J,1032,7,7.2,7.4,91
火锅,J,35,6.4,6.7,6.8,111
海鲜,J,1032,7,7.2,7.4,91
快餐,J,56,7.8,8,8.1,22
快餐,J,61,6.8,6.9,6.8,19
快餐,J,124,7.2,7.1,7.1,16
快餐,J,2,7.5,7.2,7.2,0
本菜,J,2890,9.1,9.1,9.1,174
本菜,J,823,7.4,8.3,8.1,96
料理,J,1232,8.2,8.5,8.4,80
料理,J,0,0,0,0,0
西餐,J,37,8.5,8.4,8.7,31
西餐,J,412,8.1,8.7,8.2,58
西餐,J,1148,8,8.7,8.7,122
西餐,J,299,7.8,8.5,7.8,31
西餐,J,134,7.3,7.2,7.6,25
甜点,J,1052,8.2,8.2,8.2,30
甜点,J,135,7.3,7.6,7.2,22
甜点,J,691,7.4,7.3,7.4,22
甜点,J,26,7.1,7.1,7.2,16
快餐,J,124,7.2,7.1,7.1,16
甜点,J,22,7,7.1,6.9,17
甜点,J,5,6.7,7,7,0
甜点,J,0,0,0,0,0
甜点,J,0,0,0,0,0
甜点,J,3,6.6,6.6,6.6,22
疆菜,J,1737,8.4,8.2,8.2,88
美食,J,0,0,0,0,0
海鲜,J,1155,7.7,8,7.8,193
海鲜,J,1032,7,7.2,7.4,91
本菜,J,2890,9.1,9.1,9.1,174
疆菜,J,1737,8.4,8.2,8.2,88
西餐,J,37,8.5,8.4,8.7,31
甜点,J,1052,8.2,8.2,8.2,30
甜点,J,135,7.3,7.6,7.2,22
甜点,J,5,6.7,7,7,0
甜点,J,0,0,0,0,0
甜点,J,0,0,0,0,0
甜点,J,3,6.6,6.6,6.6,22
火锅,M,10,7.4,7.3,7.3,0
啡厅,J,0,0,0,0,0
啡厅,J,0,0,0,0,0
龙虾,M,4,7.2,7.2,6.7,115
快餐,M,6,7.4,7.2,7.3,26
美食,M,0,0,0,0,0
火锅,M,710,9,8.9,8.9,106
烧烤,M,837,8.3,8,8.5,63
烧烤,M,837,8.3,8,8.5,63
烧烤,M,837,8.3,8,8.5,63
本菜,J,2,6.9,6.9,6.9,0
川菜,M,275,7.2,6.8,6.8,65
烧烤,M,8,7.6,7.7,7.6,41
快餐,M,29,7.3,7.1,7.2,15
浙菜,M,27,6.9,6.7,6.7,67
浙菜,M,23,7.3,7.2,7,48
粤菜,M,10,7,7,7,52
甜点,J,9,7.2,6.8,6.8,0
甜点,J,9,7.2,6.8,6.8,0
火锅,M,0,0,0,0,0
本菜,M,1255,8.3,8.8,8.6,206
海鲜,M,19,7.2,7.2,7.3,103
火锅,M,8,6.8,6.5,6.8,47
快餐,M,14,7.5,7.5,7.5,20
快餐,M,0,0,0,0,0
快餐,M,0,0,0,0,0
快餐,M,1,6.9,6.9,6.9,0
美食,M,0,0,0,0,0
常菜,J,2,7.3,7.3,7.3,0
快餐,M,91,0,0,0,0
龙虾,M,0,0,0,0,0
火锅,J,1414,8.3,7.8,7.4,133
火锅,J,1414,8.3,7.8,7.4,133
火锅,J,1414,8.3,7.8,7.4,133
火锅,J,1414,8.3,7.8,7.4,133
快餐,J,43,0,0,0,0
甜点,M,20,7.2,7.1,7.2,10
蟹宴,M,0,0,0,0,0
蟹宴,M,0,0,0,0,0
快餐,M,0,0,0,0,0
甜点,E,0,0,0,0,0
火锅,M,255,7.5,7.5,7.5,102
快餐,M,104,7.6,7.6,7.7,17
川菜,J,8,7,6.9,7,30
快餐,J,0,0,0,0,0
烧烤,J,0,0,0,0,0
火锅,M,0,0,0,0,0
火锅,J,0,0,0,0,0
浙菜,M,134,6.7,6.9,6.9,82
美食,J,3,7.4,7.2,7.4,0
火锅,M,0,0,0,0,0
湾菜,M,0,0,0,0,0
浙菜,M,1,7.4,7.1,7.4,40
浙菜,M,1,6.8,6.8,6.8,40
火锅,M,1054,8.6,8.5,8.1,84
浙菜,M,0,0,0,0,0
浙菜,M,0,0,0,0,0
浙菜,M,0,0,0,0,0
啡厅,M,0,0,0,0,0
啡厅,M,0,0,0,0,0
浙菜,J,346,8.1,7.4,7.5,74
西餐,J,1,7,7,7,0
甜点,J,0,0,0,0,0
美食,J,52,6.8,7,6.8,28
湘菜,M,2,7.2,7.2,7.2,0
火锅,M,0,0,0,0,0
美食,M,4,7.5,7.3,7.3,0
快餐,M,2,7.1,7.1,7.1,0
川菜,J,14,7.1,7.1,7.3,83
甜点,J,5,7.4,7.3,7.4,0
甜点,J,5,7.4,7.3,7.4,0
湘菜,J,1854,8.1,8,8,63
火锅,J,539,7.5,7.1,7.2,84
甜点,J,4,6.9,7.1,7.2,0
美食,J,0,0,0,0,0
浙菜,M,189,7.5,7.7,7.5,124
常菜,M,0,0,0,0,0
西餐,J,21,6.9,6.9,6.9,59
火锅,J,935,8.2,7.6,7.6,105
火锅,J,935,8.2,7.6,7.6,105
火锅,J,935,8.2,7.6,7.6,105
浙菜,J,0,0,0,0,0
北菜,J,0,0,0,0,0
火锅,J,70,6.8,6.4,6.5,77
海鲜,J,2,7,7,7,0
快餐,J,4,7.4,7.4,7.4,0
美食,J,1,6.9,6.9,6.9,0
美食,J,1,6.9,6.9,6.9,0
蟹宴,J,0,0,0,0,0
蟹宴,J,0,0,0,0,0
快餐,J,100,7.4,7.1,7.4,16
浙菜,J,15,7.4,7.1,7.2,41
美食,J,0,0,0,0,0
快餐,J,302,7.4,7.2,7.2,26
快餐,J,302,7.4,7.2,7.2,26
浙菜,J,0,0,0,0,0
啡厅,J,726,7.9,8.4,7.9,46
啡厅,J,726,7.9,8.4,7.9,46
啡厅,J,726,7.9,8.4,7.9,46
啡厅,J,726,7.9,8.4,7.9,46
北菜,J,1,6.9,6.9,7,15
甜点,J,1,7,7,7,0
浙菜,J,19,7.8,7.6,7.7,20
助餐,J,5,7.4,7.3,7.3,0
甜点,J,2,6.9,6.9,6.9,0
北菜,J,0,0,0,0,0
甜点,J,2,6.9,6.9,6.9,0
川菜,J,0,0,0,0,0
本菜,J,397,8.7,9,8.5,286
龙虾,J,1,6.9,6.9,6.9,0
龙虾,J,1,6.9,6.9,6.9,0
甜点,J,14,7.3,7.3,7.4,0
湾菜,J,1,7.6,7.2,7.2,22
,,0,0,0,0,0
美食,J,0,0,0,0,0
火锅,J,15,7.5,7.2,7.4,20
美食,J,0,0,0,0,0
海鲜,M,0,0,0,0,0
川菜,J,0,0,0,0,0
快餐,J,134,7.3,7.2,7.1,28
甜点,J,4,7.6,7.5,7.6,0
快餐,J,22,7.2,7,7.1,40
快餐,J,22,7.2,7,7.1,40
美食,J,15,7.6,7.4,7.4,0
美食,J,0,0,0,0,0
快餐,J,90,7.6,7.7,7.8,26
甜点,J,3,6.9,7,7.1,0
甜点,J,3,6.9,7,7.1,0
快餐,J,174,7.4,7.1,6.8,40
快餐,J,174,7.4,7.1,6.8,40
粤菜,M,39,8.3,8.5,8.1,149
浙菜,J,23,6.8,6.9,6.9,42
快餐,M,23,7.5,7.1,7.5,39
快餐,M,30,7.5,7.4,7.5,16
快餐,M,10,7.4,7.3,7.3,21
龙虾,M,1,7.1,7.1,7.1,0
快餐,M,34,6.8,6.8,6.9,19
啡厅,J,22,6.8,6.7,6.8,47
疆菜,M,0,0,0,0,0
快餐,M,2,7.5,7.3,7.5,0
美食,J,4,6.3,6.9,6.6,0
美食,J,10,7,6.8,7.1,0
川菜,M,0,0,0,0,0
火锅,M,10,7,7,6.9,0
火锅,M,2,6.9,6.9,6.9,40
快餐,M,10,7.5,7.3,7.3,18
西餐,M,11,7.5,7.4,7.5,0
西餐,M,4,7,7,7.1,0
快餐,M,10,7.5,7.3,7.3,18
甜点,M,8,6.5,6.4,6.4,12
火锅,M,0,0,0,0,0
快餐,M,2,7.5,7.6,7.5,0
快餐,M,3,7.5,7.5,7.5,0
快餐,M,2,7.4,7.4,7.4,0
快餐,M,6,7.5,7.6,7.6,0
川菜,J,5,7.3,7.2,7.2,40
快餐,J,1,6.9,6.9,6.9,0
川菜,J,0,0,0,0,0
快餐,J,93,7.2,7.2,7,22
快餐,J,93,7,7,6.9,11
快餐,J,1,7,7,7,15
甜点,J,3,0,0,0,0
甜点,J,3,0,0,0,0
川菜,J,1,6.9,6.9,6.9,0
烧烤,J,48,6.5,6.2,6.3,27
烧烤,J,48,6.5,6.2,6.3,27
蟹宴,J,7,7.6,7.6,7.6,68
蟹宴,J,7,7.6,7.6,7.6,68
川菜,J,7,7.3,7.5,7.6,0
甜点,J,12,7.1,7.4,7.1,0
火锅,J,400,8.7,8.7,8.5,100
本菜,J,591,7.7,7.8,7.7,47
甜点,J,63,6.8,6.4,6.5,3
甜点,J,63,6.8,6.4,6.5,3
浙菜,J,12,7.5,7.2,7.4,48
粤菜,J,0,0,0,0,0
粤菜,J,0,0,0,0,0
火锅,M,0,0,0,0,0
快餐,M,4,7.7,7.7,7.4,15
烧烤,M,14,7.9,7.6,7.8,20
甜点,M,0,0,0,0,0
浙菜,J,9,6.6,6.6,6.6,37
川菜,J,0,0,0,0,0
快餐,J,7,7.3,7,6.8,0
北菜,J,6,6.6,6.5,6.4,0
北菜,J,0,0,0,0,0
快餐,J,15,7.6,7.6,7.4,6
美食,J,1,7.1,7.1,7.1,0
西餐,I,0,0,0,0,0
烧烤,J,0,0,0,0,0
西餐,J,38,8.7,8.9,8.8,47
美食,J,0,0,0,0,0
啡厅,J,53,7.9,8.1,8.2,40
快餐,J,11,7.3,7.3,7.3,0
西餐,J,38,8.7,8.9,8.8,47
啡厅,J,53,7.9,8.1,8.2,40
烧烤,M,0,0,0,0,0
浙菜,M,11,7.2,7.2,7.2,37
甜点,M,5,7.2,7.2,7.2,0
美食,M,5,7.2,7.2,7.2,0
龙虾,M,11,0,0,0,0
海鲜,M,10,7.5,7.5,7.5,60
常菜,M,1,6.9,6.9,6.9,0
甜点,M,5,7.2,7.2,7.2,0
常菜,J,0,0,0,0,0
浙菜,J,3,7.3,7.3,7.3,0
美食,J,10,7.3,7.3,7.7,0
啡厅,M,0,0,0,0,0
火锅,J,0,0,0,0,0
甜点,E,1,6.9,6.9,6.9,0
甜点,E,1,6.9,6.9,6.9,0
北菜,J,0,0,0,0,0
美食,J,3,7.2,7.4,7.1,0
快餐,J,62,7.1,7.1,6.9,18
啡厅,J,9,6.4,6.4,6.3,0
快餐,J,10,7.5,7.2,7.3,0
本菜,J,150,6.5,6.7,6.7,159
西餐,J,22,7.6,7.9,7.8,104
川菜,J,0,0,0,0,57
浙菜,J,618,9,9.2,8.9,305
快餐,J,4,7,7.1,7.1,0
美食,M,12,7.2,7.2,7.3,50
疆菜,J,1,7.3,7.3,7.3,0
湘菜,M,8,7.1,6.7,6.9,36
快餐,J,16,6.9,6.9,6.9,13
浙菜,M,0,0,0,0,0
川菜,M,0,0,0,0,0
川菜,M,0,0,0,0,0
西餐,J,0,0,0,0,0
快餐,M,1,7.1,7.1,7.1,0
浙菜,J,0,0,0,0,0
快餐,J,9,6.7,6.7,6.8,18
西餐,M,14,7.1,7.1,7.3,0
西餐,M,3,6.8,7.1,7.4,0
甜点,M,1,7.1,7.1,7.1,0
快餐,J,44,7.5,7.4,7.4,16
快餐,J,44,7.5,7.4,7.4,16
美食,J,0,0,0,0,0
美食,J,8,7.1,6.9,6.9,0
本菜,M,472,8.6,9.1,8.4,289
甜点,J,9,7.5,7.6,7.6,0
快餐,J,1,7.5,7.5,7.5,0
甜点,J,5,7.1,7.1,7.1,10
甜点,J,5,7.1,7.1,7.1,10
疆菜,M,0,0,0,0,23
甜点,J,1,7,7,7,0
甜点,J,17,7.1,7.2,6.9,0
甜点,J,17,7.1,7.2,6.9,0
快餐,M,4,7.5,7.5,7.5,0
快餐,M,4,7.5,7.5,7.5,0
亚菜,E,2,7.1,7.1,7.1,0
快餐,J,5,7.1,7.2,7,0
快餐,J,0,0,0,0,0
烧烤,J,14,6.6,6.6,6.6,0
烧烤,J,14,6.6,6.6,6.6,0
美食,J,0,0,0,0,0
火锅,J,228,7.3,7.4,7.3,77
快餐,J,0,0,0,0,0
浙菜,J,0,0,0,0,0
快餐,J,28,7.9,7.2,7.7,6
快餐,J,9,7.4,7,7.2,0
甜点,J,1,6.9,7,7,0
快餐,J,9,7.4,7,7.2,0
烧烤,J,0,0,0,0,0
甜点,J,1,6.9,7,7,0
西餐,J,5,6.2,6.2,6.2,15
川菜,M,0,0,0,0,0
粤菜,J,4,6.7,6.7,6.5,31
快餐,M,1,6.9,6.9,6.9,0
快餐,M,1,6.9,6.9,6.9,0
甜点,M,0,0,0,0,0
美食,J,0,0,0,0,0
湘菜,J,49,6.9,7.1,7.3,75
快餐,J,10,7.4,7.5,7.3,15
粤菜,J,1,7.5,7.5,7.5,0
快餐,J,65,6.6,6.8,6.8,16
快餐,J,43,7.2,7.1,7.2,16
甜点,J,21,7.9,7.6,7.9,0
甜点,J,33,7,7.1,7.1,9
快餐,M,2,7.3,7.3,7.3,0
快餐,M,4,7.3,7.3,7,0
快餐,J,34,8,7.9,8.2,24
海鲜,J,9,6.3,6.5,6.4,28
啡厅,J,91,7.4,7.6,7.5,31
啡厅,J,91,7.4,7.6,7.5,31
甜点,J,12,7.2,7.3,7.5,25
甜点,J,12,7.2,7.3,7.5,25
啡厅,J,228,8.6,8.6,8.5,40
北菜,J,0,0,0,0,0
甜点,J,72,7.6,8.2,7.8,103
甜点,J,72,7.6,8.2,7.8,103
甜点,J,0,0,0,0,0
甜点,J,0,0,0,0,0
甜点,J,8,6.9,7.3,7.3,0
甜点,J,8,6.9,7.3,7.3,0
浙菜,N,0,0,0,0,0
火锅,J,1015,8.3,8.1,7.8,132
本菜,M,0,0,0,0,0
快餐,J,233,7.2,7.1,7,12
快餐,J,2,7.5,7.5,7.7,0
烧烤,J,3,7.1,7,7,16
甜点,J,132,7.6,7.7,7.8,20
快餐,M,2,7.5,7.3,7.5,11
啡厅,M,0,0,0,0,0
美食,M,0,0,0,0,0
川菜,M,0,0,0,0,0
快餐,J,253,7.5,7.4,6.9,39
快餐,J,470,6.9,6.3,6.3,25
快餐,J,6,7.1,7.1,6.8,0
甜点,J,96,8.3,7.9,7.5,15
浙菜,M,0,0,0,0,0
甜点,M,3,7.1,7,7,13
甜点,M,3,7.1,7,7,13
美食,J,0,0,0,0,0
美食,J,0,0,0,0,0
甜点,M,97,7.2,7.2,7.2,20
甜点,M,3,7.2,7.1,7.1,0
甜点,M,3,7.2,7.1,7.1,0
,,0,0,0,0,0
湘菜,J,1,7,7,7,0
美食,J,2,6.4,6.4,6.6,0
浙菜,J,38,6.9,7.1,7.1,105
甜点,J,3,7.3,7,7.1,0
甜点,J,3,7.1,7.1,7.1,0
甜点,J,3,7.1,7.1,7.1,0
快餐,J,51,7,7.1,7,16
快餐,J,51,7,7.1,7,16
本菜,J,506,8.1,8.2,8.6,197
本菜,J,33,7.5,7.4,7.7,113
快餐,N,7,7.4,6.9,7.2,0
甜点,J,64,7,7,6.9,10
本菜,J,214,7.4,7.5,7.4,107
啡厅,F,0,0,0,0,0
啡厅,F,0,0,0,0,0
湘菜,M,0,0,0,0,0
本菜,J,100,7.5,7.4,7.5,142
快餐,J,12,7.5,7.5,7.6,0
快餐,J,14,7,6.8,6.8,3
快餐,J,14,7,6.8,6.8,3
啡厅,J,3,7.1,7.1,7.1,0
啡厅,J,0,0,0,0,0
啡厅,J,3,7.1,7.1,7.1,0
甜点,J,3,7.6,7.6,7.6,0
甜点,J,3,7.6,7.6,7.6,0
美食,J,10,7.7,7.7,7.7,0
浙菜,J,22,7,6.8,6.9,0
快餐,M,65,7.4,7.4,7.4,13
快餐,M,3,7.4,7.4,7.4,0
快餐,M,3,7.4,7.4,7.4,0
美食,J,22,7.2,6.7,7.1,91
快餐,J,17,7,7,6.9,16
快餐,J,16,7.1,7.1,7.1,20
疆菜,J,7,6.9,6.7,6.7,0
粤菜,M,14,7.2,7.5,7.3,0
快餐,J,10,7.4,7.2,7.4,0
美食,J,22,7.6,7.7,7.7,30
海鲜,J,3,6.9,6.9,6.9,0
啡厅,J,1,7,7,7,0
啡厅,J,1,7,7,7,0
快餐,J,28,7,6.3,6.8,7
甜点,J,13,7.4,7.2,7.4,0
甜点,J,2,7.1,7,7.1,0
甜点,J,2,7.1,7,7.1,0
快餐,M,1,6.9,6.9,6.9,27
甜点,J,2,7.3,7.3,7.2,0
常菜,J,0,0,0,0,50
烧烤,J,33,7.2,7,6.9,56
甜点,J,135,8.4,8.4,8.6,13
烧烤,J,33,7.2,7,6.9,56
快餐,M,66,7.5,7.4,7.5,10
烧烤,J,202,7.7,7.2,7.2,78
啡厅,J,12,7.3,7.3,7.3,57
啡厅,J,12,7.3,7.3,7.3,57
快餐,J,41,8.6,8.8,8.9,22
快餐,J,41,8.6,8.8,8.9,22
快餐,J,25,6.8,6.5,6.7,2
西餐,J,48,7.8,7.6,7.8,18
西餐,J,0,0,0,0,20
西餐,J,48,7.8,7.6,7.8,18
快餐,M,29,7.3,7.5,7.4,0
快餐,J,243,7.7,7.9,7.6,33
美食,J,1,6.9,6.9,6.9,32
啡厅,J,1,7.3,7.3,7.3,0
快餐,J,15,7.5,7.4,7.5,11
亚菜,J,4284,8.8,9.1,8.5,134
快餐,J,9,7.6,7.3,7.6,13
快餐,J,9,7.6,7.3,7.6,13
快餐,J,9,7.6,7.3,7.6,13
快餐,J,1,7.7,7.7,7.7,0
烧烤,J,20,7.6,7,7.2,27
浙菜,N,5,7,6.9,6.9,0
快餐,J,162,6.7,6.7,6.6,9
甜点,J,1,7.1,7.1,7.1,0
甜点,J,6,6.9,7.1,7.1,0
湘菜,J,0,0,0,0,0
甜点,J,1,6.9,6.9,6.9,12
美食,J,0,0,0,0,0
烧烤,J,0,0,0,0,0
甜点,J,1,6.9,6.9,6.9,12
美食,J,0,0,0,0,0
甜点,J,0,0,0,0,0
啡厅,G,1,6.9,6.9,6.9,28
快餐,J,13,7.4,7.4,7.4,26
美食,J,0,0,0,0,0
火锅,J,6,7.3,7.4,7.3,0
啡厅,J,0,0,0,0,0
西餐,J,566,7.8,7.8,7.6,68
西餐,J,566,7.8,7.8,7.6,68
西餐,J,15,7.5,7.6,7.7,72
快餐,J,0,0,0,0,0
常菜,J,0,0,0,0,0
美食,J,22,7.1,7.5,7.5,13
快餐,J,30,7.2,7.5,7.3,26
快餐,J,2,6.8,6.9,6.9,0
亚菜,J,0,0,0,0,0
快餐,J,2,6.8,6.9,6.9,0
甜点,J,7,7.3,7.2,7.6,0
浙菜,J,1,7.5,7.5,7.5,0
快餐,J,106,8,7.7,7.7,12
快餐,J,26,7.2,7,7,15
甜点,J,4,7.5,7.5,7.5,0
美食,J,25,6.6,6.5,6.6,58
海鲜,J,1215,9.1,8.7,8.7,31
甜点,J,4,7.5,7.5,7.5,0
浙菜,J,47,7.6,7.1,7.3,47
火锅,M,0,0,0,0,0
甜点,J,19,6.9,6.7,6.7,20
甜点,J,19,6.9,6.7,6.7,20
北菜,J,41,7,6.8,6.9,44
川菜,J,0,0,0,0,0
甜点,M,1,6.9,6.9,6.9,0
甜点,J,67,7.5,7.6,7.5,45
快餐,J,180,6.7,6.3,6.3,27
疆菜,J,359,7.5,7.2,6.9,83
甜点,M,17,7,7,6.9,0
甜点,M,17,7,7,6.9,0
浙菜,J,45,6.5,6.4,6.4,28
快餐,J,5,7,7,7.5,0
快餐,M,2,7.2,7,7.2,18
烧烤,J,5,7.7,7.1,7.5,0
甜点,M,1,6.8,6.8,6.8,0
本菜,J,0,0,0,0,0
浙菜,N,39,7,6.9,6.8,84
甜点,J,4,7.7,7.7,7.7,0
甜点,J,4,7.7,7.7,7.7,0
快餐,,0,0,0,0,0
甜点,N,0,0,0,0,0
快餐,J,46,8,8,8,17
川菜,J,0,0,0,0,0
北菜,J,1,6.9,6.9,6.9,0
快餐,J,8,7,7.3,7.1,0
快餐,J,31,7.5,7.3,7.4,12
快餐,J,85,7.4,7.3,7.5,30
甜点,J,1,7,7,7,0
甜点,J,1,7,7,7,0
烧烤,M,12,7.3,7.2,7.2,49
浙菜,J,0,0,0,0,0
浙菜,J,0,0,0,0,0
快餐,J,81,7.4,7.4,7.3,10
常菜,J,28,6.5,7,6.4,24
西餐,J,14,7.3,7.4,7.3,19
啡厅,J,0,0,0,0,0
快餐,J,3,7.3,7.5,7.5,0
湘菜,J,1,6.8,6.8,6.8,22
快餐,J,82,7.3,7.3,7.2,29
快餐,J,82,7.3,7.3,7.2,29
浙菜,J,0,0,0,0,0
海鲜,J,4,7.2,7.4,7.3,0
火锅,E,3,6.9,7,7,32
浙菜,J,6,7.2,7.3,7.3,0
美食,J,0,0,0,0,0
火锅,J,83,7.6,8.3,7.9,82
火锅,J,83,7.6,8.3,7.9,82
快餐,J,16,6.8,6.7,6.6,0
西餐,J,185,8.2,8.3,8.4,89
西餐,J,25,7.7,8,7.8,54
甜点,J,8,7.3,7.3,7.3,17
美食,J,1,7.1,7.4,7.4,0
西餐,J,185,8.2,8.3,8.4,89
西餐,J,185,8.2,8.3,8.4,89
西餐,J,2,7.4,6.9,7.4,0
甜点,J,18,7.4,7.5,7.4,0
烧烤,J,3,7.3,7.1,7.3,0
川菜,M,9,7.3,7.1,7.3,53
粤菜,J,5,7.1,7.3,7.5,0
快餐,J,19,7.4,7.2,7.4,0
快餐,J,12,7.2,7.1,7,26
川菜,J,993,8.3,7.9,8,74
快餐,J,127,7.2,7.2,7.1,28
料理,J,937,8.8,8.7,8.9,83
料理,J,937,8.8,8.7,8.9,83
快餐,J,10,6.9,7,6.9,18
北菜,M,0,0,0,0,0
甜点,J,0,0,0,0,0
甜点,J,0,0,0,0,0
火锅,J,13,7.1,7.2,7.3,44
甜点,J,22,7.2,7.2,7.2,10
甜点,J,22,7.2,7.2,7.2,10
甜点,J,22,7.2,7.2,7.2,10
快餐,J,1,6.9,6.9,6.9,0
甜点,J,0,0,0,0,0
甜点,J,592,7.1,6.7,6.6,22
快餐,J,16,7.2,6.8,7.2,20
甜点,J,22,6.9,6.9,7,0
甜点,J,22,6.9,6.9,7,0
快餐,J,21,7.4,7.3,7.4,21
快餐,J,21,7.4,7.3,7.4,21
快餐,J,97,7.3,7.4,7.5,11
快餐,J,97,7.3,7.4,7.5,11
北菜,J,46,6.8,6.8,6.7,31
火锅,J,54,7.1,7,7,36
快餐,J,71,7.1,7,7,26
烧烤,J,366,7.8,6.9,7,59
快餐,J,7,6.6,6.9,6.7,0
快餐,J,477,7.9,7.9,8,20
快餐,J,477,7.9,7.9,8,20
快餐,J,0,0,0,0,0
快餐,J,0,0,0,0,0
快餐,J,142,7.5,7.4,7.7,17
快餐,J,29,7.2,7.3,7.3,27
甜点,J,0,0,0,0,15
美食,J,6,0,0,0,0
甜点,J,0,0,0,0,15
海鲜,J,0,0,0,0,0
北菜,M,0,0,0,0,0
浙菜,J,0,0,0,0,58
浙菜,J,0,0,0,0,0
甜点,J,6,7.2,7.5,7.4,0
啡厅,J,21,7.4,7.6,7.2,33
甜点,J,0,0,0,0,0
北菜,J,10,7.6,7.7,7.7,0
快餐,J,87,7.6,7.6,7.6,27
浙菜,M,0,0,0,0,0
浙菜,J,0,0,0,0,0
川菜,J,93,6.9,6.5,6.6,60
甜点,J,2,7.1,7.1,7.1,0
快餐,J,7,7,7,7,21
甜点,J,2,7.1,7.1,7.1,0
美食,M,0,0,0,0,0
浙菜,J,0,0,0,0,0
甜点,J,40,7.3,7.6,7.6,17
甜点,J,40,7.3,7.6,7.6,17
快餐,J,41,7.6,7.3,7.5,21
快餐,J,4,6.7,6.7,6.7,0
西餐,J,39,7.8,7.8,7.8,28
快餐,J,20,7.1,7.1,7.1,16
西餐,J,39,7.8,7.8,7.8,28
快餐,J,277,8.7,8.6,8.6,24
快餐,J,33,7.2,7,6.8,17
甜点,J,1,7,7,7.2,0
快餐,J,34,7.1,7.1,7.1,14
火锅,J,0,0,0,0,0
甜点,J,5,6.9,7,7,15
甜点,J,5,6.9,7,7,15
甜点,J,57,7.1,7.2,7.3,50
西餐,J,49,7.8,7.9,7.8,15
西餐,J,49,7.8,7.9,7.8,15
快餐,J,2,6.8,6.8,6.8,17
快餐,J,14,7.3,7.2,7.4,10
烧烤,J,106,7.2,7.2,7.2,81
甜点,J,159,7.9,7.9,8.1,21
快餐,J,56,7.2,6.9,6.8,15
甜点,J,11,7,7,7,9
甜点,J,11,7,7,7,9
甜点,M,1,7.3,7.3,7.3,0
甜点,M,1,7.3,7.3,7.3,0
